TESTACC,TS-CHIEF,HIVE-COTE v1.0,ROCKET,InceptionTime,STC,ResNet,ProximityForest,WEASEL,S-BOSS,cBOSS,BOSS,RISE,TSF,Catch22,Nasz – max,Nasz – avg,Nasz,Nasz,Nasz,Nasz,Nasz
ItalyPowerDemand,0.962423064463881,0.958179462261095,0.961613216715257,0.960349854227405,0.953806284418529,0.957110463232912,0.956009070294784,0.946809199870424,0.868351149983803,0.926465824425008,0.870877874959507,0.944541626174279,0.959475218658892,0.877486232588273,0.7433962225914,0.711698126792908,0.7433962225914,0.683018863201141,0.73584908246994,0.690566062927246,0.705660402774811
LargeKitchenAppliances,0.860177777777778,0.920088888888889,0.930044444444444,0.952533333333334,0.929866666666667,0.953866666666667,0.810133333333333,0.792711111111111,0.836977777777778,0.836977777777778,0.835822222222222,0.735822222222222,0.636266666666667,0.886311111111111,0.553191483020783,0.48297872543335,0.446808516979218,0.489361703395844,0.5,0.425531923770904,0.553191483020783
Lightning2,0.768852459016393,0.773224043715847,0.776502732240437,0.816939890710382,0.658469945355191,0.800546448087432,0.848633879781421,0.627322404371585,0.808196721311475,0.797267759562842,0.819125683060109,0.681967213114754,0.76448087431694,0.744808743169399,1,1,1,1,1,1,1
Lightning7,0.793607305936073,0.757534246575342,0.797716894977169,0.820547945205479,0.74337899543379,0.810045662100457,0.792237442922374,0.712785388127854,0.681278538812785,0.720091324200913,0.671232876712329,0.697716894977169,0.720547945205479,0.646118721461187,0.689655184745789,0.648275864124298,0.586206912994385,0.689655184745789,0.689655184745789,0.620689630508423,0.655172407627106
Mallat,0.976702203269367,0.967192608386638,0.957171286425018,0.962601279317697,0.908031272210377,0.968969438521677,0.972011371712864,0.966439232409382,0.948457711442786,0.94090973702914,0.949793887704335,0.95407249466951,0.935721393034826,0.906112295664534,0.806343913078308,0.789649426937103,0.782971620559692,0.806343913078308,0.771285474300385,0.796327233314514,0.791318893432617
Meat,0.984444444444444,0.986111111111111,0.988888888888889,0.984444444444444,0.967777777777778,0.993888888888889,0.987222222222222,0.976666666666666,0.983888888888889,0.977222222222222,0.980555555555555,0.986666666666667,0.983888888888889,0.942777777777778,0.666666686534882,0.640000021457672,0.666666686534882,0.666666686534882,0.666666686534882,0.533333361148834,0.666666686534882
MedicalImages,0.799122807017544,0.740350877192983,0.805131578947368,0.796359649122807,0.709824561403509,0.792236842105263,0.771447368421052,0.708771929824561,0.716798245614035,0.689605263157895,0.715833333333333,0.66671052631579,0.746228070175439,0.756754385964912,0.513725519180298,0.49803923368454,0.505882382392883,0.482352942228317,0.47843137383461,0.513725519180298,0.509803950786591
MiddlePhalanxOutlineAgeGroup,0.694372294372294,0.697835497835498,0.710822510822511,0.594372294372294,0.667532467532468,0.596536796536797,0.658874458874459,0.66038961038961,0.659090909090909,0.677489177489177,0.656277056277056,0.69978354978355,0.659523809523809,0.688095238095238,0.736000001430512,0.70239999294281,0.712000012397766,0.736000001430512,0.695999979972839,0.703999996185303,0.663999974727631
MiddlePhalanxOutlineCorrect,0.805841924398626,0.812943871706759,0.834478808705613,0.834249713631157,0.831500572737686,0.823596792668958,0.82405498281787,0.828293241695304,0.806643757159221,0.772164948453609,0.80950744558992,0.805498281786942,0.799541809851089,0.772737686139748,1,1,1,1,1,1,1
MiddlePhalanxTW,0.573160173160173,0.583766233766234,0.58982683982684,0.527489177489177,0.578571428571429,0.531168831168831,0.549134199134199,0.554329004329004,0.541558441558442,0.567316017316017,0.532251082251082,0.585064935064935,0.568614718614718,0.557359307359307,0.432432442903519,0.340540540218353,0.364864856004715,0.432432442903519,0.256756752729416,0.351351350545883,0.297297298908234
MixedShapesRegularTrain,0.971381443298969,0.965924398625429,0.96566323024055,0.966378006872852,0.960233676975945,0.970075601374571,0.963807560137457,0.963285223367697,0.932068728522337,0.933924398625429,0.917910652920962,0.937704467353952,0.922996563573883,0.921470790378007,0.916548788547516,0.903818953037262,0.892503559589386,0.909476637840271,0.899575650691986,0.916548788547516,0.900990128517151
MixedShapesSmallTrain,0.947257731958763,0.944687285223368,0.930680412371134,0.913333333333333,0.936810996563574,0.916247422680412,0.92805498281787,0.92446735395189,0.929773195876289,0.893127147766323,0.871697594501718,0.898281786941581,0.840151202749141,0.875161512027491,0.921850085258484,0.903987240791321,0.921850085258484,0.89792662858963,0.90430623292923,0.90111643075943,0.89473682641983
MoteStrain,0.930111821086262,0.936501597444089,0.905484558040468,0.880564430244941,0.908892438764643,0.903115015974441,0.914962726304579,0.904765708200213,0.850985090521832,0.896698615548456,0.84419595314164,0.878035143769968,0.855457933972311,0.848482428115016,0.898734152317047,0.881012654304504,0.819620251655579,0.895569622516632,0.895569622516632,0.898734152317047,0.895569622516632
OliveOil,0.916666666666666,0.883333333333333,0.902222222222222,0.874444444444444,0.878888888888888,0.862222222222222,0.878888888888889,0.913333333333333,0.874444444444444,0.874444444444444,0.875555555555556,0.893333333333333,0.893333333333333,0.745555555555556,0.5,0.275,0.5,0,0.25,0.25,0.375
OSULeaf,0.973553719008265,0.974793388429752,0.938705234159779,0.952479338842975,0.95633608815427,0.97465564738292,0.858539944903581,0.851790633608815,0.976859504132231,0.960055096418733,0.969146005509642,0.654269972451791,0.643250688705234,0.724242424242424,0.640776693820953,0.559223294258118,0.54368931055069,0.524271845817566,0.563106775283814,0.524271845817566,0.640776693820953
PhalangesOutlinesCorrect,0.825330225330225,0.826495726495727,0.844716394716395,0.861344211344211,0.833682983682984,0.847668997668998,0.829098679098679,0.821717171717172,0.818881118881119,0.779176379176379,0.817365967365967,0.812509712509712,0.805710955710955,0.791919191919192,1,1,1,1,1,1,1
Phoneme,0.369848804500703,0.371167369901547,0.27514064697609,0.334440928270042,0.356522503516174,0.345675105485232,0.320411392405063,0.259476090014065,0.279588607594937,0.27260900140647,0.254606188466948,0.34662447257384,0.193653305203938,0.300158227848101,0.166982918977737,0.15977229475975,0.166982918977737,0.166982918977737,0.157495260238647,0.1555977165699,0.151802659034729
PigAirwayPressure,0.960096153846154,0.957692307692308,0.195512820512821,0.922115384615385,0.977403846153846,0.437019230769231,0.275480769230769,0.537820512820513,0.957371794871795,0.950961538461539,0.941826923076923,0.182532051282051,0.280128205128205,0.276923076923077,0.115384615957737,0.089743591845036,0.102564103901386,0.076923079788685,0.076923079788685,0.076923079788685,0.115384615957737
PigArtPressure,0.968910256410256,0.966826923076923,0.90849358974359,0.933333333333333,0.945673076923077,0.953685897435897,0.715705128205128,0.937820512820513,0.975,0.962179487179487,0.967628205128205,0.794551282051282,0.307211538461538,0.823557692307692,0.358974367380142,0.333333343267441,0.358974367380142,0.333333343267441,0.32051283121109,0.32051283121109,0.333333343267441
PigCVP,0.961378205128205,0.953044871794872,0.881730769230769,0.905288461538461,0.899679487179487,0.45400641025641,0.500480769230769,0.897916666666667,0.95801282051282,0.952884615384615,0.959455128205128,0.682532051282051,0.178205128205128,0.476121794871795,0.128205135464668,0.097435900568962,0.089743591845036,0.089743591845036,0.128205135464668,0.064102567732334,0.115384615957737
Plane,1,1,1,0.996825396825397,0.999047619047619,1,1,0.994920634920635,0.997777777777778,1,0.998095238095238,0.996507936507937,0.995873015873016,0.988253968253968,0.5625,0.504166656732559,0.520833313465118,0.479166656732559,0.5625,0.4375,0.520833313465118
PowerCons,0.979444444444444,0.992407407407407,0.956111111111111,0.986296296296296,0.940555555555555,0.886111111111111,0.987407407407407,0.919444444444444,0.897037037037037,0.897592592592593,0.89,0.957962962962963,0.993148148148148,0.886296296296296,0,#DIV/0!,,,,,
ProximalPhalanxOutlineAgeGroup,0.846341463414634,0.855934959349594,0.852357723577236,0.822113821138212,0.845528455284553,0.81739837398374,0.840162601626016,0.844878048780488,0.832520325203252,0.849756097560976,0.828455284552846,0.857235772357724,0.845040650406504,0.858373983739837,0.801470577716827,0.751470577716827,0.757352948188782,0.742647051811218,0.720588207244873,0.801470577716827,0.735294103622437
ProximalPhalanxOutlineCorrect,0.875486827033219,0.885223367697595,0.899312714776633,0.906300114547537,0.895303550973654,0.90561282932417,0.865864833906071,0.876288659793815,0.866208476517755,0.864604810996564,0.865521191294388,0.873654066437572,0.848911798396335,0.833676975945017,1,1,1,1,1,1,1
